drugName,condition,review,rating,usefulCount
Lisinopril,Diabetes,<p>This medication improved my Diabetes a lot</p>,8,33
Atorvastatin,Asthma,"good results for Asthma, will continue using.",8,64
Metformin,Acne,not effective for my Acne :(,2,84
Omeprazole,Insomnia,I feel much better now after using this medicine for Insomnia.,10,83
Ciprofloxacin,Arthritis,not effective for my Arthritis :(,3,68
Metformin,Back Pain,Doctor prescribed this for Back Pain and it actually helped :),10,79
Amlodipine,Acne,"good results for Acne, will continue using.",8,90
Ciprofloxacin,GERD,"good results for GERD, will continue using.",10,85
Fluoxetine,Back Pain,Terrible experience!! didn't help my Back Pain at all.,1,85
Doxycycline,Hypertension,THIS DRUG worked GREAT for my Hypertension!!!,10,32
Ciprofloxacin,Arthritis,not effective for my Arthritis :(,3,99
Gabapentin,Infection,,7,93
Ciprofloxacin,Hypertension,<p>This medication improved my Hypertension a lot</p>,7,24
Omeprazole,Acne,Doctor prescribed this for Acne and it actually helped :),9,21
Sertraline,,,2,90
Metformin,Anxiety,not effective for my Anxiety :(,1,3
Omeprazole,GERD,I had headaches & nausea while taking this for GERD.,2,45
Omeprazole,Infection,Terrible experience!! didn't help my Infection at all.,6,15
Omeprazole,Infection,,2,52
Atorvastatin,GERD,I feel much better now after using this medicine for GERD.,10,47
Ciprofloxacin,Asthma,Doctor prescribed this for Asthma and it actually helped :),7,38
Doxycycline,Anxiety,I had headaches & nausea while taking this for Anxiety.,5,28
Fluoxetine,Migraine,I feel much better now after using this medicine for Migraine.,8,32
Sertraline,Arthritis,Waste of money for Arthritis treatment...,5,6
Doxycycline,GERD,<div>Side effects were bad when I used this for GERD</div>,5,67
Doxycycline,Anxiety,Terrible experience!! didn't help my Anxiety at all.,4,96
Amoxicillin,Arthritis,THIS DRUG worked GREAT for my Arthritis!!!,9,92
Ciprofloxacin,Anxiety,<p>This medication improved my Anxiety a lot</p>,10,6
Azithromycin,GERD,THIS DRUG worked GREAT for my GERD!!!,8,13
Fluoxetine,Insomnia,"good results for Insomnia, will continue using.",9,13
Atorvastatin,GERD,"good results for GERD, will continue using.",8,1
Amoxicillin,Hypertension,I had headaches & nausea while taking this for Hypertension.,3,64
Atorvastatin,Acne,<div>Side effects were bad when I used this for Acne</div>,5,95
Lisinopril,Back Pain,Doctor prescribed this for Back Pain and it actually helped :),9,18
Amlodipine,Depression,Waste of money for Depression treatment...,6,21
Doxycycline,Allergy,THIS DRUG worked GREAT for my Allergy!!!,8,23
Omeprazole,Depression,THIS DRUG worked GREAT for my Depression!!!,8,52
Paracetamol,Migraine,I feel much better now after using this medicine for Migraine.,10,94
Omeprazole,Hypertension,I had headaches & nausea while taking this for Hypertension.,6,66
Amlodipine,Migraine,THIS DRUG worked GREAT for my Migraine!!!,7,46
Doxycycline,Asthma,"good results for Asthma, will continue using.",7,89
Amlodipine,Arthritis,<div>Side effects were bad when I used this for Arthritis</div>,3,1
Gabapentin,,<div>Side effects were bad when I used this for Anxiety</div>,3,97
Metformin,Allergy,THIS DRUG worked GREAT for my Allergy!!!,10,42
Metformin,Allergy,Waste of money for Allergy treatment...,3,35
Doxycycline,Back Pain,Doctor prescribed this for Back Pain and it actually helped :),10,85
Gabapentin,GERD,I feel much better now after using this medicine for GERD.,8,7
Azithromycin,GERD,I feel much better now after using this medicine for GERD.,8,81
Prednisone,Hypertension,Waste of money for Hypertension treatment...,2,15
Atorvastatin,Allergy,Terrible experience!! didn't help my Allergy at all.,3,96
Gabapentin,Anxiety,<p>This medication improved my Anxiety a lot</p>,7,58
Prednisone,Anxiety,I had headaches & nausea while taking this for Anxiety.,6,76
Atorvastatin,Asthma,Doctor prescribed this for Asthma and it actually helped :),9,8
Metformin,Depression,not effective for my Depression :(,6,89
Ciprofloxacin,Acne,"good results for Acne, will continue using.",7,56
Sertraline,Diabetes,<p>This medication improved my Diabetes a lot</p>,7,19
Metformin,Migraine,<div>Side effects were bad when I used this for Migraine</div>,3,6
Atorvastatin,Acne,"good results for Acne, will continue using.",10,7
Sertraline,Depression,THIS DRUG worked GREAT for my Depression!!!,8,89
Azithromycin,Acne,,3,1
Metformin,Back Pain,I had headaches & nausea while taking this for Back Pain.,4,22
Prednisone,Allergy,I had headaches & nausea while taking this for Allergy.,2,31
Ciprofloxacin,Asthma,Doctor prescribed this for Asthma and it actually helped :),9,98
Amlodipine,Asthma,I feel much better now after using this medicine for Asthma.,10,15
Amlodipine,Infection,not effective for my Infection :(,2,69
Azithromycin,Migraine,not effective for my Migraine :(,4,82
Azithromycin,Allergy,<p>This medication improved my Allergy a lot</p>,10,71
Fluoxetine,Hypertension,I had headaches & nausea while taking this for Hypertension.,5,78
Lisinopril,GERD,<p>This medication improved my GERD a lot</p>,9,11
Ibuprofen,Hypertension,Waste of money for Hypertension treatment...,1,46
Lisinopril,Asthma,I had headaches & nausea while taking this for Asthma.,4,73
Amoxicillin,,Doctor prescribed this for Depression and it actually helped :),8,74
Sertraline,Anxiety,not effective for my Anxiety :(,5,9
Prednisone,Anxiety,THIS DRUG worked GREAT for my Anxiety!!!,10,60
Amlodipine,,not effective for my Acne :(,4,41
Lisinopril,,<div>Side effects were bad when I used this for Arthritis</div>,5,55
Ibuprofen,Migraine,I had headaches & nausea while taking this for Migraine.,6,99
Prednisone,Hypertension,<div>Side effects were bad when I used this for Hypertension</div>,1,53
Gabapentin,Arthritis,I feel much better now after using this medicine for Arthritis.,8,5
Prednisone,Anxiety,I had headaches & nausea while taking this for Anxiety.,5,7
Ciprofloxacin,Diabetes,I feel much better now after using this medicine for Diabetes.,7,68
Atorvastatin,Migraine,Waste of money for Migraine treatment...,1,16
Sertraline,Diabetes,Doctor prescribed this for Diabetes and it actually helped :),9,0
Fluoxetine,Depression,Waste of money for Depression treatment...,6,40
Metformin,,I had headaches & nausea while taking this for Hypertension.,5,79
Fluoxetine,Asthma,Doctor prescribed this for Asthma and it actually helped :),7,34
Amlodipine,Anxiety,Terrible experience!! didn't help my Anxiety at all.,3,87
Omeprazole,,"good results for Arthritis, will continue using.",10,56
Doxycycline,GERD,"good results for GERD, will continue using.",7,33
Amlodipine,Hypertension,Waste of money for Hypertension treatment...,5,32
Metformin,,,9,70
Doxycycline,GERD,Terrible experience!! didn't help my GERD at all.,4,52
Omeprazole,Diabetes,Terrible experience!! didn't help my Diabetes at all.,6,53
Fluoxetine,GERD,<p>This medication improved my GERD a lot</p>,7,18
Amoxicillin,Arthritis,<p>This medication improved my Arthritis a lot</p>,8,52
Amlodipine,Migraine,Waste of money for Migraine treatment...,5,28
Paracetamol,Depression,<div>Side effects were bad when I used this for Depression</div>,5,83
Sertraline,Arthritis,<p>This medication improved my Arthritis a lot</p>,7,14
Lisinopril,Infection,not effective for my Infection :(,3,1
Azithromycin,Allergy,<p>This medication improved my Allergy a lot</p>,7,34
Azithromycin,Acne,I had headaches & nausea while taking this for Acne.,2,95
Fluoxetine,Migraine,not effective for my Migraine :(,2,52
Ibuprofen,Allergy,"good results for Allergy, will continue using.",9,62
Atorvastatin,Back Pain,<div>Side effects were bad when I used this for Back Pain</div>,3,49
Atorvastatin,Hypertension,Doctor prescribed this for Hypertension and it actually helped :),7,94
Prednisone,Arthritis,<div>Side effects were bad when I used this for Arthritis</div>,5,71
Doxycycline,Diabetes,<div>Side effects were bad when I used this for Diabetes</div>,5,92
Prednisone,Depression,Doctor prescribed this for Depression and it actually helped :),8,89
Ibuprofen,Allergy,I had headaches & nausea while taking this for Allergy.,4,47
Doxycycline,Allergy,THIS DRUG worked GREAT for my Allergy!!!,7,17
Ciprofloxacin,Arthritis,Waste of money for Arthritis treatment...,6,41
Omeprazole,Back Pain,Waste of money for Back Pain treatment...,4,84
Amlodipine,GERD,<div>Side effects were bad when I used this for GERD</div>,6,86
Paracetamol,GERD,I feel much better now after using this medicine for GERD.,9,40
Fluoxetine,Migraine,,1,68
Prednisone,GERD,<p>This medication improved my GERD a lot</p>,8,9
Fluoxetine,GERD,Doctor prescribed this for GERD and it actually helped :),9,70
Atorvastatin,Depression,Doctor prescribed this for Depression and it actually helped :),8,90
Doxycycline,GERD,Doctor prescribed this for GERD and it actually helped :),9,4
Omeprazole,Allergy,I feel much better now after using this medicine for Allergy.,8,73
Ibuprofen,Arthritis,Waste of money for Arthritis treatment...,1,64
Doxycycline,Diabetes,Doctor prescribed this for Diabetes and it actually helped :),9,37
Atorvastatin,Allergy,Waste of money for Allergy treatment...,3,66
Prednisone,Diabetes,"good results for Diabetes, will continue using.",8,30
Ciprofloxacin,Asthma,THIS DRUG worked GREAT for my Asthma!!!,8,69
Gabapentin,Asthma,"good results for Asthma, will continue using.",7,5
Sertraline,Hypertension,not effective for my Hypertension :(,6,84
Doxycycline,Acne,,1,46
Azithromycin,GERD,<div>Side effects were bad when I used this for GERD</div>,2,0
Metformin,GERD,I had headaches & nausea while taking this for GERD.,1,22
Omeprazole,Migraine,I feel much better now after using this medicine for Migraine.,8,5
Ciprofloxacin,Insomnia,<div>Side effects were bad when I used this for Insomnia</div>,1,65
Omeprazole,Asthma,<p>This medication improved my Asthma a lot</p>,7,69
Paracetamol,Hypertension,I had headaches & nausea while taking this for Hypertension.,3,82
Lisinopril,Diabetes,THIS DRUG worked GREAT for my Diabetes!!!,9,60
Azithromycin,Diabetes,I had headaches & nausea while taking this for Diabetes.,5,52
Atorvastatin,Diabetes,I feel much better now after using this medicine for Diabetes.,7,51
Prednisone,Insomnia,,4,13
Omeprazole,Insomnia,"good results for Insomnia, will continue using.",10,48
Amoxicillin,Migraine,<p>This medication improved my Migraine a lot</p>,9,80
Omeprazole,,<div>Side effects were bad when I used this for Asthma</div>,5,49
Metformin,,THIS DRUG worked GREAT for my Diabetes!!!,10,29
Sertraline,Migraine,I feel much better now after using this medicine for Migraine.,9,72
Metformin,Acne,<p>This medication improved my Acne a lot</p>,7,64
Lisinopril,Acne,I feel much better now after using this medicine for Acne.,10,47
Sertraline,Asthma,I feel much better now after using this medicine for Asthma.,8,82
Gabapentin,Arthritis,Waste of money for Arthritis treatment...,6,45
Metformin,,,7,1
Lisinopril,Depression,I had headaches & nausea while taking this for Depression.,5,94
Omeprazole,Infection,<div>Side effects were bad when I used this for Infection</div>,5,48
Doxycycline,Diabetes,I feel much better now after using this medicine for Diabetes.,10,11
Lisinopril,Asthma,not effective for my Asthma :(,4,18
Paracetamol,Acne,THIS DRUG worked GREAT for my Acne!!!,9,49
Omeprazole,Arthritis,Doctor prescribed this for Arthritis and it actually helped :),7,45
Sertraline,Asthma,<div>Side effects were bad when I used this for Asthma</div>,4,13
Ibuprofen,Depression,THIS DRUG worked GREAT for my Depression!!!,8,13
Amoxicillin,Anxiety,<div>Side effects were bad when I used this for Anxiety</div>,2,37
Ciprofloxacin,Acne,I feel much better now after using this medicine for Acne.,7,3
Paracetamol,Infection,"good results for Infection, will continue using.",9,96
Amoxicillin,,I had headaches & nausea while taking this for Asthma.,2,65
Amlodipine,Asthma,THIS DRUG worked GREAT for my Asthma!!!,7,47
Gabapentin,Hypertension,Doctor prescribed this for Hypertension and it actually helped :),8,16
Lisinopril,Infection,<div>Side effects were bad when I used this for Infection</div>,2,80
Azithromycin,Infection,not effective for my Infection :(,3,81
Lisinopril,Diabetes,Terrible experience!! didn't help my Diabetes at all.,2,26
Gabapentin,Depression,not effective for my Depression :(,1,34
Doxycycline,Acne,<div>Side effects were bad when I used this for Acne</div>,3,49
Gabapentin,Migraine,Terrible experience!! didn't help my Migraine at all.,2,27
Atorvastatin,Diabetes,not effective for my Diabetes :(,4,72
Prednisone,Depression,I feel much better now after using this medicine for Depression.,9,95
Ibuprofen,Allergy,"good results for Allergy, will continue using.",7,62
Lisinopril,Depression,,9,51
Paracetamol,Asthma,<p>This medication improved my Asthma a lot</p>,7,63
Omeprazole,Infection,THIS DRUG worked GREAT for my Infection!!!,7,79
Sertraline,Acne,Terrible experience!! didn't help my Acne at all.,1,39
Atorvastatin,Migraine,<p>This medication improved my Migraine a lot</p>,10,96
Metformin,Migraine,Waste of money for Migraine treatment...,3,53
Amlodipine,GERD,not effective for my GERD :(,1,94
Prednisone,Asthma,"good results for Asthma, will continue using.",9,66
Gabapentin,Arthritis,<div>Side effects were bad when I used this for Arthritis</div>,3,23
Amoxicillin,Migraine,Waste of money for Migraine treatment...,5,71
Paracetamol,,not effective for my Insomnia :(,1,30
Gabapentin,Anxiety,THIS DRUG worked GREAT for my Anxiety!!!,10,29
Amoxicillin,Arthritis,<p>This medication improved my Arthritis a lot</p>,9,79
Fluoxetine,Anxiety,I feel much better now after using this medicine for Anxiety.,8,11
Gabapentin,Allergy,"good results for Allergy, will continue using.",10,42
Atorvastatin,Back Pain,Waste of money for Back Pain treatment...,5,100
Amoxicillin,,I had headaches & nausea while taking this for Acne.,3,4
Metformin,Migraine,<p>This medication improved my Migraine a lot</p>,8,90
Prednisone,Insomnia,I had headaches & nausea while taking this for Insomnia.,3,68
Doxycycline,Infection,,8,61
Fluoxetine,Hypertension,not effective for my Hypertension :(,2,99
Doxycycline,Back Pain,not effective for my Back Pain :(,4,79
Omeprazole,Infection,not effective for my Infection :(,5,69
Atorvastatin,Hypertension,I had headaches & nausea while taking this for Hypertension.,4,68
Prednisone,Anxiety,"good results for Anxiety, will continue using.",7,36
Prednisone,GERD,<p>This medication improved my GERD a lot</p>,8,22
Prednisone,Diabetes,"good results for Diabetes, will continue using.",10,61
Doxycycline,Diabetes,not effective for my Diabetes :(,4,3
Doxycycline,Depression,THIS DRUG worked GREAT for my Depression!!!,10,99
Gabapentin,Arthritis,Waste of money for Arthritis treatment...,6,94
Amoxicillin,Depression,not effective for my Depression :(,1,41
Metformin,Migraine,Terrible experience!! didn't help my Migraine at all.,1,93
Doxycycline,Diabetes,Waste of money for Diabetes treatment...,5,86
Azithromycin,,<p>This medication improved my Back Pain a lot</p>,10,44
Doxycycline,Diabetes,<div>Side effects were bad when I used this for Diabetes</div>,3,90
Atorvastatin,Back Pain,<div>Side effects were bad when I used this for Back Pain</div>,5,44
Amoxicillin,Anxiety,I feel much better now after using this medicine for Anxiety.,7,91
Azithromycin,,I feel much better now after using this medicine for Migraine.,10,48
Metformin,Diabetes,I feel much better now after using this medicine for Diabetes.,8,75
Prednisone,Back Pain,Terrible experience!! didn't help my Back Pain at all.,6,17
Azithromycin,Depression,not effective for my Depression :(,6,37
Paracetamol,Depression,THIS DRUG worked GREAT for my Depression!!!,7,54
Gabapentin,Anxiety,Waste of money for Anxiety treatment...,3,97
Sertraline,Hypertension,I feel much better now after using this medicine for Hypertension.,7,42
Omeprazole,Anxiety,I had headaches & nausea while taking this for Anxiety.,1,96
Ibuprofen,Allergy,I feel much better now after using this medicine for Allergy.,10,100
Azithromycin,Infection,<div>Side effects were bad when I used this for Infection</div>,2,80
Azithromycin,Back Pain,I had headaches & nausea while taking this for Back Pain.,2,56
Fluoxetine,Hypertension,THIS DRUG worked GREAT for my Hypertension!!!,10,95
Azithromycin,Anxiety,<div>Side effects were bad when I used this for Anxiety</div>,4,76
Lisinopril,Asthma,<p>This medication improved my Asthma a lot</p>,9,8
Ciprofloxacin,Arthritis,not effective for my Arthritis :(,3,57
Ibuprofen,Asthma,<p>This medication improved my Asthma a lot</p>,8,95
Metformin,Asthma,<p>This medication improved my Asthma a lot</p>,7,80
Paracetamol,Diabetes,I had headaches & nausea while taking this for Diabetes.,5,23
Fluoxetine,Asthma,Terrible experience!! didn't help my Asthma at all.,6,10
Ibuprofen,Allergy,"good results for Allergy, will continue using.",8,6
Ciprofloxacin,Diabetes,<p>This medication improved my Diabetes a lot</p>,8,6
Metformin,Insomnia,I feel much better now after using this medicine for Insomnia.,9,0
Doxycycline,Back Pain,<p>This medication improved my Back Pain a lot</p>,9,18
Atorvastatin,Hypertension,"good results for Hypertension, will continue using.",10,69
Amlodipine,Diabetes,"good results for Diabetes, will continue using.",8,57
Prednisone,Diabetes,,6,64
Lisinopril,Arthritis,Waste of money for Arthritis treatment...,2,65
Amlodipine,Arthritis,Doctor prescribed this for Arthritis and it actually helped :),8,51
Omeprazole,Asthma,not effective for my Asthma :(,4,19
Doxycycline,Asthma,"good results for Asthma, will continue using.",9,86
Sertraline,,"good results for Back Pain, will continue using.",9,58
Lisinopril,Hypertension,Doctor prescribed this for Hypertension and it actually helped :),10,72
Atorvastatin,Back Pain,not effective for my Back Pain :(,1,76
Lisinopril,Infection,"good results for Infection, will continue using.",9,79
Paracetamol,Arthritis,not effective for my Arthritis :(,3,38
Doxycycline,Asthma,I had headaches & nausea while taking this for Asthma.,4,72
Fluoxetine,Back Pain,Terrible experience!! didn't help my Back Pain at all.,2,43
Sertraline,GERD,I feel much better now after using this medicine for GERD.,9,23
Ciprofloxacin,Allergy,Terrible experience!! didn't help my Allergy at all.,3,61
Doxycycline,Hypertension,<p>This medication improved my Hypertension a lot</p>,10,20
Azithromycin,Migraine,Waste of money for Migraine treatment...,5,10
Paracetamol,Asthma,not effective for my Asthma :(,6,27
Sertraline,GERD,Waste of money for GERD treatment...,6,43
Paracetamol,Depression,I had headaches & nausea while taking this for Depression.,1,50
Azithromycin,Migraine,not effective for my Migraine :(,2,47
Lisinopril,Migraine,I feel much better now after using this medicine for Migraine.,7,81
Ciprofloxacin,Asthma,"good results for Asthma, will continue using.",9,52
Doxycycline,Allergy,I had headaches & nausea while taking this for Allergy.,5,23
Ciprofloxacin,Insomnia,<div>Side effects were bad when I used this for Insomnia</div>,2,91
Gabapentin,Acne,Doctor prescribed this for Acne and it actually helped :),8,25
Amoxicillin,Infection,<p>This medication improved my Infection a lot</p>,7,21
Azithromycin,Anxiety,Doctor prescribed this for Anxiety and it actually helped :),9,50
Atorvastatin,Migraine,Doctor prescribed this for Migraine and it actually helped :),8,23
Omeprazole,Migraine,I feel much better now after using this medicine for Migraine.,8,77
Ciprofloxacin,GERD,<p>This medication improved my GERD a lot</p>,7,25
Sertraline,Asthma,Terrible experience!! didn't help my Asthma at all.,4,85
Atorvastatin,Hypertension,"good results for Hypertension, will continue using.",9,49
Ciprofloxacin,Diabetes,"good results for Diabetes, will continue using.",9,93
Ciprofloxacin,Insomnia,THIS DRUG worked GREAT for my Insomnia!!!,7,31
Ciprofloxacin,Depression,THIS DRUG worked GREAT for my Depression!!!,10,48
Gabapentin,Arthritis,<div>Side effects were bad when I used this for Arthritis</div>,3,11
Lisinopril,Back Pain,THIS DRUG worked GREAT for my Back Pain!!!,10,41
Metformin,Arthritis,Waste of money for Arthritis treatment...,1,61
Azithromycin,GERD,not effective for my GERD :(,4,22
Paracetamol,Anxiety,<div>Side effects were bad when I used this for Anxiety</div>,6,34
Amlodipine,GERD,Terrible experience!! didn't help my GERD at all.,5,98
Amoxicillin,Asthma,Doctor prescribed this for Asthma and it actually helped :),10,25
Sertraline,Diabetes,Waste of money for Diabetes treatment...,6,61
Atorvastatin,Arthritis,I had headaches & nausea while taking this for Arthritis.,2,73
Prednisone,Anxiety,Waste of money for Anxiety treatment...,5,94
Omeprazole,Depression,Waste of money for Depression treatment...,3,22
Paracetamol,,I had headaches & nausea while taking this for Anxiety.,4,14
Paracetamol,Asthma,Waste of money for Asthma treatment...,6,47
Omeprazole,Acne,"good results for Acne, will continue using.",9,7
Atorvastatin,,Terrible experience!! didn't help my Insomnia at all.,2,63
Amlodipine,GERD,not effective for my GERD :(,5,63
Sertraline,Migraine,not effective for my Migraine :(,2,91
Metformin,Migraine,<div>Side effects were bad when I used this for Migraine</div>,6,69
Azithromycin,,Doctor prescribed this for Arthritis and it actually helped :),10,84
Prednisone,Infection,I had headaches & nausea while taking this for Infection.,3,81
Amoxicillin,Infection,not effective for my Infection :(,1,20
Sertraline,Arthritis,not effective for my Arthritis :(,3,83
Gabapentin,Infection,Terrible experience!! didn't help my Infection at all.,4,75
Gabapentin,Anxiety,I feel much better now after using this medicine for Anxiety.,8,70
Sertraline,Acne,"good results for Acne, will continue using.",9,4
Sertraline,Diabetes,<div>Side effects were bad when I used this for Diabetes</div>,5,87
Prednisone,,,8,56
Prednisone,Allergy,I had headaches & nausea while taking this for Allergy.,5,44
Amlodipine,Infection,not effective for my Infection :(,1,38
Gabapentin,Depression,THIS DRUG worked GREAT for my Depression!!!,9,20
Gabapentin,Depression,Terrible experience!! didn't help my Depression at all.,5,61
Ciprofloxacin,Migraine,"good results for Migraine, will continue using.",7,39
Amoxicillin,Allergy,not effective for my Allergy :(,1,61
Amlodipine,Acne,Waste of money for Acne treatment...,1,60
Metformin,Migraine,I feel much better now after using this medicine for Migraine.,10,87
Doxycycline,Acne,Doctor prescribed this for Acne and it actually helped :),9,24
Paracetamol,Allergy,THIS DRUG worked GREAT for my Allergy!!!,9,84
Doxycycline,Anxiety,,4,58
Paracetamol,Back Pain,<div>Side effects were bad when I used this for Back Pain</div>,3,35
Atorvastatin,Back Pain,<div>Side effects were bad when I used this for Back Pain</div>,2,65
Amlodipine,Hypertension,Doctor prescribed this for Hypertension and it actually helped :),7,74
Paracetamol,Depression,THIS DRUG worked GREAT for my Depression!!!,9,85
Paracetamol,,<p>This medication improved my Insomnia a lot</p>,8,2
Fluoxetine,Diabetes,I feel much better now after using this medicine for Diabetes.,7,97
Metformin,Insomnia,I feel much better now after using this medicine for Insomnia.,7,14
Metformin,Anxiety,<div>Side effects were bad when I used this for Anxiety</div>,5,18
Metformin,Acne,I feel much better now after using this medicine for Acne.,10,13
Amoxicillin,GERD,not effective for my GERD :(,5,74
Paracetamol,Acne,I had headaches & nausea while taking this for Acne.,6,44
Prednisone,Back Pain,Terrible experience!! didn't help my Back Pain at all.,5,31
Metformin,Asthma,Waste of money for Asthma treatment...,1,45
Amoxicillin,GERD,Waste of money for GERD treatment...,2,55
Lisinopril,Back Pain,I feel much better now after using this medicine for Back Pain.,9,19
Amoxicillin,Acne,<div>Side effects were bad when I used this for Acne</div>,2,83
Doxycycline,Asthma,THIS DRUG worked GREAT for my Asthma!!!,9,53
Metformin,Allergy,Terrible experience!! didn't help my Allergy at all.,1,28
Fluoxetine,Migraine,"good results for Migraine, will continue using.",8,62
Azithromycin,Allergy,THIS DRUG worked GREAT for my Allergy!!!,7,49
Lisinopril,Anxiety,<div>Side effects were bad when I used this for Anxiety</div>,1,84
Prednisone,Hypertension,<p>This medication improved my Hypertension a lot</p>,9,73
Lisinopril,Hypertension,,6,77
Prednisone,Arthritis,I feel much better now after using this medicine for Arthritis.,10,7
Ciprofloxacin,Back Pain,I had headaches & nausea while taking this for Back Pain.,1,79
Lisinopril,Hypertension,<div>Side effects were bad when I used this for Hypertension</div>,2,71
Ciprofloxacin,Allergy,"good results for Allergy, will continue using.",8,87
Amoxicillin,Allergy,I had headaches & nausea while taking this for Allergy.,3,68
Paracetamol,Arthritis,Doctor prescribed this for Arthritis and it actually helped :),7,20
Ciprofloxacin,Migraine,THIS DRUG worked GREAT for my Migraine!!!,8,2
Lisinopril,Hypertension,Waste of money for Hypertension treatment...,4,89
Lisinopril,Depression,I feel much better now after using this medicine for Depression.,10,60
Gabapentin,Diabetes,,8,35
Prednisone,,I had headaches & nausea while taking this for Migraine.,2,29
Fluoxetine,Arthritis,<p>This medication improved my Arthritis a lot</p>,8,79
Lisinopril,Diabetes,<div>Side effects were bad when I used this for Diabetes</div>,1,53
Fluoxetine,Migraine,"good results for Migraine, will continue using.",9,32
Amlodipine,Diabetes,"good results for Diabetes, will continue using.",10,8
Prednisone,Diabetes,I had headaches & nausea while taking this for Diabetes.,3,29
Fluoxetine,Allergy,not effective for my Allergy :(,1,91
Amlodipine,Hypertension,THIS DRUG worked GREAT for my Hypertension!!!,7,87
Fluoxetine,Migraine,THIS DRUG worked GREAT for my Migraine!!!,7,82
Ciprofloxacin,Insomnia,I feel much better now after using this medicine for Insomnia.,10,94
Metformin,GERD,I feel much better now after using this medicine for GERD.,9,43
Ibuprofen,GERD,THIS DRUG worked GREAT for my GERD!!!,9,38
Prednisone,Anxiety,I feel much better now after using this medicine for Anxiety.,8,54
Doxycycline,Insomnia,"good results for Insomnia, will continue using.",8,21
Ciprofloxacin,Insomnia,<p>This medication improved my Insomnia a lot</p>,7,75
Doxycycline,Anxiety,Doctor prescribed this for Anxiety and it actually helped :),9,41
Fluoxetine,,Waste of money for Depression treatment...,6,26
Ibuprofen,Acne,Doctor prescribed this for Acne and it actually helped :),8,60
Fluoxetine,Insomnia,THIS DRUG worked GREAT for my Insomnia!!!,7,78
Amlodipine,GERD,Waste of money for GERD treatment...,6,46
Doxycycline,Diabetes,<p>This medication improved my Diabetes a lot</p>,9,27
Amoxicillin,Migraine,"good results for Migraine, will continue using.",7,90
Ibuprofen,Back Pain,<div>Side effects were bad when I used this for Back Pain</div>,2,32
Ciprofloxacin,Migraine,I feel much better now after using this medicine for Migraine.,7,89
Prednisone,Arthritis,not effective for my Arthritis :(,6,93
Fluoxetine,Asthma,Waste of money for Asthma treatment...,6,24
Sertraline,Hypertension,not effective for my Hypertension :(,2,10
Sertraline,Back Pain,Waste of money for Back Pain treatment...,1,27
Amlodipine,Hypertension,<p>This medication improved my Hypertension a lot</p>,10,59
Fluoxetine,GERD,Doctor prescribed this for GERD and it actually helped :),9,55
Atorvastatin,Arthritis,THIS DRUG worked GREAT for my Arthritis!!!,10,35
Fluoxetine,Infection,Waste of money for Infection treatment...,2,38
Amoxicillin,Back Pain,Waste of money for Back Pain treatment...,1,21
Prednisone,Anxiety,Doctor prescribed this for Anxiety and it actually helped :),8,84
Doxycycline,Allergy,not effective for my Allergy :(,5,4
Prednisone,Asthma,<p>This medication improved my Asthma a lot</p>,7,38
Lisinopril,Insomnia,I feel much better now after using this medicine for Insomnia.,8,13
Paracetamol,Hypertension,<p>This medication improved my Hypertension a lot</p>,7,64
Ibuprofen,Infection,"good results for Infection, will continue using.",8,56
Doxycycline,Diabetes,Doctor prescribed this for Diabetes and it actually helped :),10,99
Ciprofloxacin,Depression,<div>Side effects were bad when I used this for Depression</div>,3,99
Ibuprofen,Anxiety,<div>Side effects were bad when I used this for Anxiety</div>,3,57
Sertraline,Back Pain,not effective for my Back Pain :(,5,41
Paracetamol,GERD,not effective for my GERD :(,6,63
Lisinopril,Allergy,THIS DRUG worked GREAT for my Allergy!!!,8,18
Amoxicillin,Migraine,<p>This medication improved my Migraine a lot</p>,8,95
Ibuprofen,Diabetes,Doctor prescribed this for Diabetes and it actually helped :),9,67
Amoxicillin,Infection,Doctor prescribed this for Infection and it actually helped :),9,17
Prednisone,GERD,,10,36
Gabapentin,Migraine,I had headaches & nausea while taking this for Migraine.,6,31
Amlodipine,Back Pain,THIS DRUG worked GREAT for my Back Pain!!!,8,81
Ibuprofen,Anxiety,Terrible experience!! didn't help my Anxiety at all.,3,52
Prednisone,Migraine,<div>Side effects were bad when I used this for Migraine</div>,2,68
Amlodipine,Acne,<p>This medication improved my Acne a lot</p>,8,46
Azithromycin,GERD,not effective for my GERD :(,4,15
Ibuprofen,Hypertension,I had headaches & nausea while taking this for Hypertension.,5,96
Atorvastatin,Allergy,Doctor prescribed this for Allergy and it actually helped :),7,77
Sertraline,GERD,THIS DRUG worked GREAT for my GERD!!!,7,5
Amoxicillin,Back Pain,<p>This medication improved my Back Pain a lot</p>,9,38
Amoxicillin,Insomnia,Terrible experience!! didn't help my Insomnia at all.,5,85
Ciprofloxacin,Diabetes,Doctor prescribed this for Diabetes and it actually helped :),9,83
Paracetamol,Migraine,THIS DRUG worked GREAT for my Migraine!!!,9,52
Fluoxetine,Depression,THIS DRUG worked GREAT for my Depression!!!,10,80
Ciprofloxacin,Allergy,"good results for Allergy, will continue using.",10,77
Gabapentin,Arthritis,Waste of money for Arthritis treatment...,5,75
Amoxicillin,Infection,<div>Side effects were bad when I used this for Infection</div>,1,98
Azithromycin,Arthritis,Terrible experience!! didn't help my Arthritis at all.,3,37
